ordinal,CAPITULO,Pos DOC,DOCUMENTO,Pos BIEN,BIEN,Articulo,Honorario,Detalle valor base
144,CAPITULO I - ACTOS Y CONTRATOS,59,DIVISION DE GRAVAMEN,,,2) e),12 UR semestral,
145,CAPITULO I - ACTOS Y CONTRATOS,60,ENAJENACION DE SOBRAS MUNICIPALES,1,BIEN INMUEBLE,1) I) a),3%,"Valor asignado por las partes o valor catastral, el mayor "
146,CAPITULO I - ACTOS Y CONTRATOS,61,ENTREGA DE LEGADO DE ESPECIE CIERTA Y DETERMINADA,,,2) b),12 UR semestral,
147,CAPITULO I - ACTOS Y CONTRATOS,62,ENTREGA DE LEGADO DE GENERO,,,1) I) g),3%,Valor asignado por las partes
148,CAPITULO I - ACTOS Y CONTRATOS,63,EXTINCION DE OBLIGACIONES,,,2) g),12 UR semestral,
149,CAPITULO I - ACTOS Y CONTRATOS,64,FACTORING,,,1) II) a),2%,Valor asignado por las partes
150,CAPITULO I - ACTOS Y CONTRATOS,65,FORMACION DE TITULO POR SEPARADO,,,2) e),12 UR semestral,
151,CAPITULO I - ACTOS Y CONTRATOS,66,HABITACION,,,2) d),12 UR semestral,
152,CAPITULO I - ACTOS Y CONTRATOS,67,IGUALA,,,2) d),12 UR semestral,
153,CAPITULO I - ACTOS Y CONTRATOS,68,LEASING,,,1) II) f),2%,"Importe total de pagos periodico durante el plazo convenido, no menor a un año"
154,CAPITULO I - ACTOS Y CONTRATOS,69,LEGITIMACION,,,2) a),12 UR semestral,
155,CAPITULO I - ACTOS Y CONTRATOS,70,LIBERACION DE GRAVAMEN,,,2) h),12 UR semestral,
156,CAPITULO I - ACTOS Y CONTRATOS,71,MODIFICACION CON AUMENTO DE PRECIO,,,1) I) j),3%,Aumento de precio
157,CAPITULO I - ACTOS Y CONTRATOS,72,MODIFICACION QUE NO IMPLIQUE AUMENTO DE CAPITAL O DE PRECIO,,,2) j),12 UR semestral,
158,CAPITULO I - ACTOS Y CONTRATOS,73,"NEGOCIO DE FIJACION POR EXTRAVIO, PERDIDA, ETC",,,2) n),12 UR semestral,
159,CAPITULO I - ACTOS Y CONTRATOS,74,"NEGOCIO DE FIJACION POR EXTRAVIO, PERDIDA, ETC. VEHICULOS AUTOMOTORES",,,2) n),4 UR semestral,
160,CAPITULO I - ACTOS Y CONTRATOS,75,NEGOCIO PRELIMINAR,,,2) ñ),12 UR semestral,
161,CAPITULO I - ACTOS Y CONTRATOS,76,PENSION ALIMENTICIA,,,2) c),12 UR semestral,
162,CAPITULO I - ACTOS Y CONTRATOS,77,"PRENDA (ADEUDO, PRESTAMO O CREDITO)",2,BIEN MUEBLE,1) II) b),2%,Valor asignado por las partes
163,CAPITULO I - ACTOS Y CONTRATOS,78,RATIFICACION (SE EXCEPTUAN LAS DECLARATORIAS POR LAS QUE SE ATRIBUYA EL DOMINIO A TERCEROS,,,2) c),12 UR semestral,
164,CAPITULO I - ACTOS Y CONTRATOS,79,RECONOCIMIENTO DE HIJO NATURAL,,,2) a),12 UR semestral,
165,CAPITULO I - ACTOS Y CONTRATOS,80,RENUNCIA DE DERECHOS,,,2) d),12 UR semestral,
166,CAPITULO I - ACTOS Y CONTRATOS,81,RENUNCIA DE PRIORIDAD DE INSCRIPCIONES,,,2) c),12 UR semestral,
167,CAPITULO I - ACTOS Y CONTRATOS,82,RENUNCIA DE USUFRUCTO,,,2) c),12 UR semestral,
168,CAPITULO I - ACTOS Y CONTRATOS,83,"RE-OTORGAMIENTO POR EXTRAVIO, PERDIDA, ETC",,,2) n),12 UR semestral,
169,CAPITULO I - ACTOS Y CONTRATOS,84,"RE-OTORGAMIENTO POR EXTRAVIO, PERDIDA, ETC. VEHICULOS AUTOMOTORES",,,2) n),4 UR semestral,
170,CAPITULO I - ACTOS Y CONTRATOS,85,REPUDIACION DE HERENCIA Y/O LEGADO,,,2) d),12 UR semestral,
171,CAPITULO I - ACTOS Y CONTRATOS,86,SINDICACION DE ACCIONES,,,2) c),12 UR semestral,
172,CAPITULO I - ACTOS Y CONTRATOS,87,SUBROGACIONES,,,1) I) h),3%,Valor asignado por las partes
173,CAPITULO I - ACTOS Y CONTRATOS,88,TESTAMENTO,,,3),12 UR semestral,
174,CAPITULO I - ACTOS Y CONTRATOS,89,TRANSACCION CUANDO NO SEA SUSCEPTIBLE DE ESTIMACION,,,2) b),12 UR semestral,
175,CAPITULO I - ACTOS Y CONTRATOS,90,USUARIOS DE ZONA FRANCA,,,1) II) f),2%,"Importe total de pagos periodico durante el plazo convenido, no menor a un año, con tope UR 500"
176,CAPITULO I - ACTOS Y CONTRATOS,91,"WARRANT (ADEUDO, PRESTAMO O CREDITO)",2,BIEN MUEBLE,1) II) b),2%,Valor asignado por las partes
