No ordinal,CAPITULO,Pos DOC,DOCUMENTO,Pos BIEN,BIEN,Articulo,Valor base,Honorario
1,CAPITULO III - ACTAS Y PROTOCOLIZACIONES,1,PROTOCOLIZACION DE TODO TIPO DE DOCUMENTO,,,10,,"6 UR semestral  hasta 10 fojas y 0,10 UR por cada foja subsiguiente"
2,CAPITULO III - ACTAS Y PROTOCOLIZACIONES,2,"ACTAS DE PROTESTOS, INTIMACIONES, NOTIFICACIONES, DECLARACIONES Y COMPROBACIONES",,,11,,6 UR semestral  hasta un maximo de 200 UR
